Transaction Date,Store ID,RewardsID,Prod Num,Sale Amount
1/1/2022,702,,105349-M,8
1/1/2022,704,,105350-T,144
1/1/2022,705,,105351-M,44
1/1/2022,705,,105352-M,47.61
1/1/2022,705,,105353-A,20.36
1/1/2022,706,,105344-IT,265.07
1/1/2022,707,,105354-T,133.1
1/1/2022,707,,105355-B,24.28
1/1/2022,708,,105356-S,13.13
1/1/2022,709,,105357-T,195.3
1/1/2022,709,,105358-A,14
1/1/2022,710,,105359-B,23.44
1/1/2022,710,357,105360-T,188.2
1/1/2022,711,,105361-M,59.58
1/1/2022,712,296,105362-B,17.7
1/1/2022,713,,105363-M,19.48
1/1/2022,713,,105364-S,17.7
1/1/2022,714,512,105365-T,221.48
1/1/2022,714,171,105351-M,44
1/1/2022,714,,105366-T,213.82
1/1/2022,716,,105367-M,52.4
1/1/2022,716,,105368-T,189
1/1/2022,717,,105369-T,228.3
1/1/2022,719,,105376-M,44.5
1/1/2022,721,,105310-IT,71.74
1/1/2022,723,,105377-A,5
1/1/2022,723,,105378-T,155.6
1/1/2022,724,,105379-A,28
1/1/2022,724,,105380-M,28.92
1/1/2022,726,17,105381-M,55
1/1/2022,727,,105382-T,67.85
1/1/2022,728,,105383-M,4
1/1/2022,731,,105384-A,23.44
1/1/2022,733,20,105385-M,27.52
1/1/2022,734,,105386-M,25
1/1/2022,735,,105349-M,8
1/1/2022,736,,105310-IT,71.74
1/1/2022,736,,105326-IT,1717.7
1/1/2022,736,,105311-IT,69.9
1/1/2022,736,,105282-IT,237.28
1/1/2022,736,,105303-IT,76.86
1/1/2022,736,,105287-IT,126.18
1/1/2022,736,131,105387-A,27.52
1/1/2022,736,,105388-B,49.36
1/1/2022,736,289,105389-S,12.4
1/1/2022,736,,105390-A,8
1/1/2022,736,,105391-T,205.8
1/1/2022,736,,105392-T,187.25
1/1/2022,736,,105393-B,43.13
1/1/2022,736,,105394-A,50.96
1/1/2022,736,,105395-B,20.36
1/1/2022,736,,105396-S,17.7
1/1/2022,736,,105397-S,5.24
1/1/2022,736,,105398-A,52.96
1/1/2022,736,,105399-A,112
1/1/2022,736,334,105400-B,76.4
1/1/2022,736,,105401-B,23.44
1/1/2022,736,,105402-S,2.4
1/1/2022,736,,105403-T,214.32
1/1/2022,736,,105404-M,19.48
1/1/2022,736,,105405-M,61.14
1/1/2022,736,,105385-M,27.52
1/1/2022,736,,105406-M,57.12
1/1/2022,736,,105407-T,223.8
1/1/2022,736,,105408-S,4.32
1/1/2022,736,,105409-A,36.15
1/1/2022,736,,105410-B,25.45
1/1/2022,736,,105411-S,20.36
1/1/2022,736,,105412-S,9.45
1/1/2022,736,,105413-A,57.7
1/1/2022,736,,105414-S,6.02
1/1/2022,736,,105415-A,61.14
1/1/2022,736,,105416-B,13.13
1/1/2022,736,,105417-B,25.45
1/1/2022,736,281,105418-B,20.36
1/1/2022,736,371,105419-B,20.32
1/1/2022,736,,105420-S,20.36
1/1/2022,737,,105421-S,9.95
1/1/2022,738,,105300-IT,77.81
1/1/2022,803,,105422-T,116.2
1/1/2022,803,,105423-M,40.55
1/1/2022,804,,105424-T,192.26
1/1/2022,806,,105345-IT,120.82
1/1/2022,806,186,105385-M,27.52
1/1/2022,807,,105298-IT,102.09
1/1/2022,809,,105422-T,116.2
1/1/2022,809,,105425-M,66
1/1/2022,811,,105426-M,10.1
1/1/2022,813,,105250-IT,837.28
1/1/2022,814,327,105427-S,10.16
1/1/2022,815,,105392-T,187.25
1/1/2022,816,,105265-IT,375.24
1/1/2022,816,,105428-M,65.5
1/1/2022,817,,105429-T,71.8
1/1/2022,817,,105430-A,19.48
1/1/2022,818,,105321-IT,28.88
1/1/2022,821,507,105319-IT,30.16
1/1/2022,822,,105431-M,24.28
1/1/2022,822,491,105432-S,6.02
